Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age
Tanya Taylor,Contemporary,7,7,2012,12,12,10 to 20 Years,1,Existing,189,2020,8
Ted Baker London,Contemporary,9,5,1988,36,36,20 to 50 Years,1,Existing,190,2020,32
The Great,Contemporary,7,7,2014,10,10,5 to 10 Years,1,Existing,191,2020,6
The North Face,Contemporary,6,6,1966,58,58,50 to 100 Years,1,Existing,192,2020,54
The Row,Luxury,10,10,2006,18,18,10 to 20 Years,1,Existing,193,2020,14
Theia,Contemporary,12,12,2009,15,15,10 to 20 Years,1,Existing,194,2020,11
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,195,2020,23
Tibi,Contemporary,13,13,1997,27,27,20 to 50 Years,1,Existing,196,2020,23
Tom Ford,Luxury,10,10,2005,19,19,10 to 20 Years,1,Existing,197,2020,15
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,198,2020,16
Ugg,Contemporary,7,7,1978,46,46,20 to 50 Years,1,Existing,199,2020,42
Under Armour,Contemporary,6,4,1996,28,28,20 to 50 Years,1,Existing,200,2020,24
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,201,2020,60
Valentino Garavani,Luxury,6,6,1960,64,64,50 to 100 Years,1,Existing,202,2020,60
Valextra,Premium,4,3,1992,32,32,20 to 50 Years,1,Existing,203,2020,28
Veronica Beard,Contemporary,9,9,2010,14,14,10 to 20 Years,1,Existing,204,2020,10
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,205,2020,42
Victoria Beckham,Luxury,8,8,2008,16,16,10 to 20 Years,1,Existing,206,2020,12
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,207,2020,18
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,1,Existing,208,2020,22
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,209,2020,70
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,210,2020,24
Xirena,Contemporary,11,8,2011,13,13,10 to 20 Years,1,Existing,211,2020,9
Yuzefi,Contemporary,4,3,2015,9,9,5 to 10 Years,1,Existing,212,2020,5
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,213,2020,22
Zadig & Voltaire,Contemporary,8,8,1997,27,27,20 to 50 Years,1,Existing,214,2020,23
Zimmermann,Contemporary,13,11,1991,33,33,20 to 50 Years,1,Existing,215,2020,29
Zuhair Murad,Luxury,8,7,1997,27,27,20 to 50 Years,1,Existing,216,2020,23
3.1 Phillip Lim,Contemporary,16,16,2005,19,19,10 to 20 Years,1,Existing,1,2021,16
A.L.C.,Contemporary,9,9,2009,15,15,10 to 20 Years,1,Existing,2,2021,12
Adam Lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,1,Existing,3,2021,17
Adidas By Stella Mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,1,Existing,4,2021,16
Agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,1,Existing,5,2021,68
Agolde,Contemporary,4,4,2014,10,10,5 to 10 Years,1,Existing,6,2021,7
Akris,Premium,16,16,2002,22,22,20 to 50 Years,1,Existing,7,2021,19
Akris Punto,Contemporary,16,16,1995,29,29,20 to 50 Years,1,Existing,8,2021,26
Alex Perry,Premium,3,3,2009,15,15,10 to 20 Years,1,Existing,9,2021,12
Alexander Mcqueen,Luxury,17,17,1992,32,32,20 to 50 Years,1,Existing,10,2021,29
Alexandre Birman,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,11,2021,13
Alexandre Vauthier,Premium,3,3,2011,13,13,10 to 20 Years,1,Existing,12,2021,10
Alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,1,Existing,13,2021,13
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,14,2021,19
Alo Yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,1,Existing,15,2021,14
Altuzarra,Premium,11,11,1994,30,30,20 to 50 Years,1,Existing,16,2021,27
Amina Muaddi,Premium,3,3,1925,99,99,50 to 100 Years,1,Existing,17,2021,96
Andrew Gn,Premium,17,8,1956,68,68,50 to 100 Years,1,Existing,18,2021,65
Aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,1,Existing,19,2021,27
Aquazzura,Premium,10,10,2006,18,18,10 to 20 Years,1,Existing,20,2021,15
Attico,Contemporary,6,6,2016,8,8,5 to 10 Years,1,Existing,21,2021,5
Badgley Mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,1,Existing,22,2021,33
Bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,1,Existing,23,2021,15
Balenciaga,Luxury,11,11,1917,107,107,100 to 200 Years,1,Existing,24,2021,104
Balmain,Luxury,12,11,1945,79,79,50 to 100 Years,1,Existing,25,2021,76
Beyond Yoga,Contemporary,6,6,2006,18,18,10 to 20 Years,1,Existing,26,2021,15
Black Halo,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,27,2021,19
Blanc Noir,Contemporary,6,6,2013,11,11,10 to 20 Years,1,Existing,28,2021,8
Bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,1,Existing,29,2021,89
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,30,2021,55
Brandon Maxwell,Premium,7,7,1994,30,30,20 to 50 Years,1,Existing,31,2021,27
Brock Collection,Premium,6,5,2012,12,12,10 to 20 Years,1,Existing,32,2021,9
Brunello Cucinelli,Luxury,13,13,1978,46,46,20 to 50 Years,1,Existing,33,2021,43
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,34,2021,165
By Far,Contemporary,3,3,2016,8,8,5 to 10 Years,1,Existing,35,2021,5
Camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,1,Existing,36,2021,17
Canada Goose,Contemporary,9,9,1957,67,67,50 to 100 Years,1,Existing,37,2021,64
Carolina Herrera,Luxury,16,16,1980,44,44,20 to 50 Years,1,Existing,38,2021,41
Chanel,Luxury,6,6,1910,114,114,100 to 200 Years,1,Existing,39,2021,111
Chiara Boni La Petite Robe,Contemporary,6,6,2007,17,17,10 to 20 Years,1,Existing,40,2021,14
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,41,2021,69
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,42,2021,30
Cinq à Sept,Contemporary,6,6,2016,8,8,5 to 10 Years,1,Existing,43,2021,5
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,1,Existing,44,2021,13
Cynthia Rowley,Contemporary,4,4,1988,36,36,20 to 50 Years,1,Existing,45,2021,33
Derek Lam 10 Crosby,Contemporary,8,8,2011,13,13,10 to 20 Years,1,Existing,46,2021,10
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,47,2021,49
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,48,2021,36
Dries Van Noten,Premium,6,6,2003,21,21,20 to 50 Years,1,Existing,49,2021,18
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,50,2021,37
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,51,2021,47
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,52,2021,74
Emporio Armani,Contemporary,5,5,1975,49,49,20 to 50 Years,1,Existing,53,2021,46
Equipment,Contemporary,12,12,1976,48,48,20 to 50 Years,1,Existing,54,2021,45
Erdem,Premium,13,13,1968,56,56,50 to 100 Years,1,Existing,55,2021,53
Escada,Premium,17,16,1922,102,102,100 to 200 Years,1,Existing,56,2021,99
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,57,2021,20
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,58,2021,53
Farm Rio,Contemporary,3,3,1997,27,27,20 to 50 Years,1,Existing,59,2021,24
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,60,2021,96
Fleurette,Contemporary,6,5,1949,75,75,50 to 100 Years,1,Existing,61,2021,72
Frame,Contemporary,9,8,2012,12,12,10 to 20 Years,1,Existing,62,2021,9
Fuzzi,Contemporary,11,10,1954,70,70,50 to 100 Years,1,Existing,63,2021,67
Gabriela Hearst,Luxury,5,5,2015,9,9,5 to 10 Years,1,Existing,64,2021,6
Galvan,Contemporary,6,6,2014,10,10,5 to 10 Years,1,Existing,65,2021,7
Giambattista Valli,Luxury,12,7,2005,19,19,10 to 20 Years,1,Existing,66,2021,16
Gianvito Rossi,Premium,10,10,1963,61,61,50 to 100 Years,1,Existing,67,2021,58
Giorgio Armani,Luxury,17,17,1975,49,49,20 to 50 Years,1,Existing,68,2021,46
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,69,2021,27
Givenchy,Luxury,9,9,1952,72,72,50 to 100 Years,1,Existing,70,2021,69
Gorski,Contemporary,7,7,1984,40,40,20 to 50 Years,1,Existing,71,2021,37
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,72,2021,100
Halston,Contemporary,14,4,1962,62,62,50 to 100 Years,1,Existing,73,2021,59
