Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age,Relative Age Group
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,168,2021,35,5 to 10 Years
Talbot Runhof,Contemporary,10,10,1992,32,32,20 to 50 Years,1,Existing,169,2021,29,5 to 10 Years
Tanya Taylor,Contemporary,7,7,2012,12,12,10 to 20 Years,1,Existing,170,2021,9,5 to 10 Years
The Great,Contemporary,7,7,2014,10,10,5 to 10 Years,1,Existing,171,2021,7,5 to 10 Years
The North Face,Contemporary,6,6,1966,58,58,50 to 100 Years,1,Existing,172,2021,55,5 to 10 Years
The Row,Luxury,10,10,2006,18,18,10 to 20 Years,1,Existing,173,2021,15,5 to 10 Years
Theia,Contemporary,12,12,2009,15,15,10 to 20 Years,1,Existing,174,2021,12,5 to 10 Years
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,175,2021,24,5 to 10 Years
Tibi,Contemporary,13,13,1997,27,27,20 to 50 Years,1,Existing,176,2021,24,5 to 10 Years
Tom Ford,Luxury,10,10,2005,19,19,10 to 20 Years,1,Existing,177,2021,16,5 to 10 Years
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,178,2021,17,5 to 10 Years
Ugg,Contemporary,7,7,1978,46,46,20 to 50 Years,1,Existing,179,2021,43,5 to 10 Years
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,180,2021,61,5 to 10 Years
Valentino Garavani,Luxury,6,6,1960,64,64,50 to 100 Years,1,Existing,181,2021,61,5 to 10 Years
Veja,Contemporary,3,3,2004,20,20,10 to 20 Years,1,Existing,182,2021,17,5 to 10 Years
Veronica Beard,Contemporary,9,9,2010,14,14,10 to 20 Years,1,Existing,183,2021,11,5 to 10 Years
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,184,2021,43,5 to 10 Years
Victoria Beckham,Luxury,8,8,2008,16,16,10 to 20 Years,1,Existing,185,2021,13,5 to 10 Years
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,186,2021,19,5 to 10 Years
Wandler,Contemporary,3,3,2017,7,7,5 to 10 Years,1,Existing,187,2021,4,5 to 10 Years
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,188,2021,71,5 to 10 Years
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,189,2021,25,5 to 10 Years
Xirena,Contemporary,11,8,2011,13,13,10 to 20 Years,1,Existing,190,2021,10,5 to 10 Years
Zadig & Voltaire,Contemporary,8,8,1997,27,27,20 to 50 Years,1,Existing,191,2021,24,5 to 10 Years
Zimmermann,Contemporary,13,11,1991,33,33,20 to 50 Years,1,Existing,192,2021,30,5 to 10 Years
3.1 Phillip Lim,Contemporary,16,16,2005,19,19,10 to 20 Years,1,Existing,1,2022,17,5 to 10 Years
A.L.C.,Contemporary,9,9,2009,15,15,10 to 20 Years,1,Existing,2,2022,13,5 to 10 Years
Adam Lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,1,Existing,3,2022,18,5 to 10 Years
Adidas By Stella Mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,1,Existing,4,2022,17,5 to 10 Years
Agent Provocateur,Contemporary,2,2,1994,30,30,20 to 50 Years,1,Existing,5,2022,28,5 to 10 Years
Agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,1,Existing,6,2022,69,5 to 10 Years
Agolde,Contemporary,4,4,2014,10,10,5 to 10 Years,1,Existing,7,2022,8,5 to 10 Years
Akris,Premium,16,16,2002,22,22,20 to 50 Years,1,Existing,8,2022,20,5 to 10 Years
Akris Punto,Contemporary,16,16,1995,29,29,20 to 50 Years,1,Existing,9,2022,27,5 to 10 Years
Alex Perry,Premium,3,3,2009,15,15,10 to 20 Years,1,Existing,10,2022,13,5 to 10 Years
Alexander Mcqueen,Luxury,17,17,1992,32,32,20 to 50 Years,1,Existing,11,2022,30,5 to 10 Years
Alexandre Birman,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,12,2022,14,5 to 10 Years
Alexandre Vauthier,Premium,3,3,2011,13,13,10 to 20 Years,1,Existing,13,2022,11,5 to 10 Years
Alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,1,Existing,14,2022,14,5 to 10 Years
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,15,2022,20,5 to 10 Years
Alo Yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,1,Existing,16,2022,15,5 to 10 Years
Altuzarra,Premium,11,11,1994,30,30,20 to 50 Years,1,Existing,17,2022,28,5 to 10 Years
Amina Muaddi,Premium,3,3,1925,99,99,50 to 100 Years,1,Existing,18,2022,97,5 to 10 Years
Andrew Gn,Premium,17,8,1956,68,68,50 to 100 Years,1,Existing,19,2022,66,5 to 10 Years
Anna Sui,Contemporary,19,5,1981,43,43,20 to 50 Years,1,Existing,20,2022,41,5 to 10 Years
Aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,1,Existing,21,2022,28,5 to 10 Years
Aquazzura,Premium,10,10,2006,18,18,10 to 20 Years,1,Existing,22,2022,16,5 to 10 Years
Attico,Contemporary,6,6,2016,8,8,5 to 10 Years,1,Existing,23,2022,6,5 to 10 Years
Badgley Mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,1,Existing,24,2022,34,5 to 10 Years
Bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,1,Existing,25,2022,16,5 to 10 Years
Balenciaga,Luxury,11,11,1917,107,107,100 to 200 Years,1,Existing,26,2022,105,5 to 10 Years
Bally,Premium,2,2,1997,27,27,20 to 50 Years,1,Existing,27,2022,25,5 to 10 Years
Balmain,Luxury,12,11,1945,79,79,50 to 100 Years,1,Existing,28,2022,77,5 to 10 Years
Beyond Yoga,Contemporary,6,6,2006,18,18,10 to 20 Years,1,Existing,29,2022,16,5 to 10 Years
Birkenstock,Contemporary,2,2,1774,250,250,Over 200 Years,1,Existing,30,2022,248,5 to 10 Years
Black Halo,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,31,2022,20,5 to 10 Years
Blanc Noir,Contemporary,6,6,2013,11,11,10 to 20 Years,1,Existing,32,2022,9,5 to 10 Years
Bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,1,Existing,33,2022,90,5 to 10 Years
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,34,2022,56,5 to 10 Years
Brandon Maxwell,Premium,7,7,1994,30,30,20 to 50 Years,1,Existing,35,2022,28,5 to 10 Years
Brunello Cucinelli,Luxury,13,13,1978,46,46,20 to 50 Years,1,Existing,36,2022,44,5 to 10 Years
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,37,2022,166,5 to 10 Years
By Far,Contemporary,3,3,2016,8,8,5 to 10 Years,1,Existing,38,2022,6,5 to 10 Years
Camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,1,Existing,39,2022,18,5 to 10 Years
Canada Goose,Contemporary,9,9,1957,67,67,50 to 100 Years,1,Existing,40,2022,65,5 to 10 Years
Carolina Herrera,Luxury,16,16,1980,44,44,20 to 50 Years,1,Existing,41,2022,42,5 to 10 Years
Chanel,Luxury,6,6,1910,114,114,100 to 200 Years,1,Existing,42,2022,112,5 to 10 Years
Chiara Boni La Petite Robe,Contemporary,6,6,2007,17,17,10 to 20 Years,1,Existing,43,2022,15,5 to 10 Years
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,44,2022,70,5 to 10 Years
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,45,2022,31,5 to 10 Years
Cinq à Sept,Contemporary,6,6,2016,8,8,5 to 10 Years,1,Existing,46,2022,6,5 to 10 Years
Cult Gaia,Contemporary,2,2,2012,12,12,10 to 20 Years,1,Existing,47,2022,10,5 to 10 Years
Cynthia Rowley,Contemporary,4,4,1988,36,36,20 to 50 Years,1,Existing,48,2022,34,5 to 10 Years
Derek Lam 10 Crosby,Contemporary,8,8,2011,13,13,10 to 20 Years,1,Existing,49,2022,11,5 to 10 Years
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,50,2022,50,5 to 10 Years
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,51,2022,37,5 to 10 Years
Dries Van Noten,Premium,6,6,2003,21,21,20 to 50 Years,1,Existing,52,2022,19,5 to 10 Years
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,53,2022,38,5 to 10 Years
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,54,2022,75,5 to 10 Years
Emporio Armani,Contemporary,5,5,1975,49,49,20 to 50 Years,1,Existing,55,2022,47,5 to 10 Years
Equipment,Contemporary,12,12,1976,48,48,20 to 50 Years,1,Existing,56,2022,46,5 to 10 Years
Erdem,Premium,13,13,1968,56,56,50 to 100 Years,1,Existing,57,2022,54,5 to 10 Years
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,58,2022,21,5 to 10 Years
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,59,2022,54,5 to 10 Years
Farm Rio,Contemporary,3,3,1997,27,27,20 to 50 Years,1,Existing,60,2022,25,5 to 10 Years
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,61,2022,97,5 to 10 Years
Fleurette,Contemporary,6,5,1949,75,75,50 to 100 Years,1,Existing,62,2022,73,5 to 10 Years
Frame,Contemporary,9,8,2012,12,12,10 to 20 Years,1,Existing,63,2022,10,5 to 10 Years
Fuzzi,Contemporary,11,10,1954,70,70,50 to 100 Years,1,Existing,64,2022,68,5 to 10 Years
Gabriela Hearst,Luxury,5,5,2015,9,9,5 to 10 Years,1,Existing,65,2022,7,5 to 10 Years
Galvan,Contemporary,6,6,2014,10,10,5 to 10 Years,1,Existing,66,2022,8,5 to 10 Years
Ganni,Contemporary,2,2,2000,24,24,20 to 50 Years,1,Existing,67,2022,22,5 to 10 Years
Giambattista Valli,Luxury,12,7,2005,19,19,10 to 20 Years,1,Existing,68,2022,17,5 to 10 Years
Gianvito Rossi,Premium,10,10,1963,61,61,50 to 100 Years,1,Existing,69,2022,59,5 to 10 Years
Giorgio Armani,Luxury,17,17,1975,49,49,20 to 50 Years,1,Existing,70,2022,47,5 to 10 Years
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,71,2022,28,5 to 10 Years
Givenchy,Luxury,9,9,1952,72,72,50 to 100 Years,1,Existing,72,2022,70,5 to 10 Years
Gorski,Contemporary,7,7,1984,40,40,20 to 50 Years,1,Existing,73,2022,38,5 to 10 Years
Halston,Contemporary,14,4,1962,62,62,50 to 100 Years,1,Existing,74,2022,60,5 to 10 Years
Helmut Lang,Contemporary,13,13,1986,38,38,20 to 50 Years,1,Existing,75,2022,36,5 to 10 Years
Herno,Contemporary,5,5,1948,76,76,50 to 100 Years,1,Existing,76,2022,74,5 to 10 Years
Herve Leger,Contemporary,13,13,1985,39,39,20 to 50 Years,1,Existing,77,2022,37,5 to 10 Years
Hudson,Contemporary,14,14,2002,22,22,20 to 50 Years,1,Existing,78,2022,20,5 to 10 Years
Huishan Zhang,Premium,3,3,2006,18,18,10 to 20 Years,1,Existing,79,2022,16,5 to 10 Years
Inuikii,Contemporary,2,2,2012,12,12,10 to 20 Years,1,Existing,80,2022,10,5 to 10 Years
Iro,Contemporary,9,9,2004,20,20,10 to 20 Years,1,Existing,81,2022,18,5 to 10 Years
Isabel Marant,Premium,7,7,1984,40,40,20 to 50 Years,1,Existing,82,2022,38,5 to 10 Years
Jason Wu,Premium,13,11,2003,21,21,20 to 50 Years,1,Existing,83,2022,19,5 to 10 Years
Jason Wu Collection,Premium,3,3,2018,6,6,5 to 10 Years,1,Existing,84,2022,4,5 to 10 Years
Jenny Packham,Contemporary,9,9,1988,36,36,20 to 50 Years,1,Existing,85,2022,34,5 to 10 Years
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,1,Existing,86,2022,24,5 to 10 Years
Jimmy Choo,Luxury,16,16,1996,28,28,20 to 50 Years,1,Existing,87,2022,26,5 to 10 Years
Joe'S Jeans,Contemporary,10,10,2001,23,23,20 to 50 Years,1,Existing,88,2022,21,5 to 10 Years
Johanna Ortiz,Premium,6,6,1960,64,64,50 to 100 Years,1,Existing,89,2022,62,5 to 10 Years
Johnny Was,Contemporary,15,15,1987,37,37,20 to 50 Years,1,Existing,90,2022,35,5 to 10 Years
Jonathan Simkhai,Contemporary,9,9,2010,14,14,10 to 20 Years,1,Existing,91,2022,12,5 to 10 Years
Jovani,Contemporary,8,8,1983,41,41,20 to 50 Years,1,Existing,92,2022,39,5 to 10 Years
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,93,2022,24,5 to 10 Years
Jw Anderson,Premium,2,2,1999,25,25,20 to 50 Years,1,Existing,94,2022,23,5 to 10 Years
Kenzo,Luxury,9,9,1970,54,54,50 to 100 Years,1,Existing,95,2022,52,5 to 10 Years
Khaite,Luxury,3,3,2016,8,8,5 to 10 Years,1,Existing,96,2022,6,5 to 10 Years
Kobi Halperin,Contemporary,7,7,2015,9,9,5 to 10 Years,1,Existing,97,2022,7,5 to 10 Years
L'Agence,Contemporary,10,8,2008,16,16,10 to 20 Years,1,Existing,98,2022,14,5 to 10 Years
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,99,2022,68,5 to 10 Years
Lafayette 148 New York,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,100,2022,26,5 to 10 Years
Lamarque,Contemporary,8,6,2011,13,13,10 to 20 Years,1,Existing,101,2022,11,5 to 10 Years
Lela Rose,Contemporary,16,16,1998,26,26,20 to 50 Years,1,Existing,102,2022,24,5 to 10 Years
Likely,Contemporary,6,6,2016,8,8,5 to 10 Years,1,Existing,103,2022,6,5 to 10 Years
Loewe,Premium,9,9,1996,28,28,20 to 50 Years,1,Existing,104,2022,26,5 to 10 Years
Loro Piana,Luxury,17,17,1924,100,100,50 to 100 Years,1,Existing,105,2022,98,5 to 10 Years
Louis Vuitton,Luxury,4,4,1854,170,170,100 to 200 Years,1,Existing,106,2022,168,5 to 10 Years
Loveshackfancy,Contemporary,8,8,2013,11,11,10 to 20 Years,1,Existing,107,2022,9,5 to 10 Years
Mackage,Contemporary,13,7,1999,25,25,20 to 50 Years,1,Existing,108,2022,23,5 to 10 Years
Maison Margiela,Premium,8,7,2015,9,9,5 to 10 Years,1,Existing,109,2022,7,5 to 10 Years
Malone Souliers,Contemporary,4,4,2014,10,10,5 to 10 Years,1,Existing,110,2022,8,5 to 10 Years
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,111,2022,52,5 to 10 Years
Manu Atelier,Contemporary,2,2,2014,10,10,5 to 10 Years,1,Existing,112,2022,8,5 to 10 Years
Mara Hoffman,Contemporary,11,11,2000,24,24,20 to 50 Years,1,Existing,113,2022,22,5 to 10 Years
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,114,2022,38,5 to 10 Years
Marchesa,Premium,17,13,2005,19,19,10 to 20 Years,1,Existing,115,2022,17,5 to 10 Years
Marchesa Notte,Contemporary,8,8,2004,20,20,10 to 20 Years,1,Existing,116,2022,18,5 to 10 Years
Marni,Premium,10,10,2011,13,13,10 to 20 Years,1,Existing,117,2022,11,5 to 10 Years
Maticevski,Premium,2,2,2012,12,12,10 to 20 Years,1,Existing,118,2022,10,5 to 10 Years
Max Mara,Contemporary,2,2,1951,73,73,50 to 100 Years,1,Existing,119,2022,71,5 to 10 Years
Melissa Odabash,Contemporary,14,6,1995,29,29,20 to 50 Years,1,Existing,120,2022,27,5 to 10 Years
Michael Kors Collection,Contemporary,7,7,1981,43,43,20 to 50 Years,1,Existing,121,2022,41,5 to 10 Years
Michael Michael Kors,Contemporary,12,12,2004,20,20,10 to 20 Years,1,Existing,122,2022,18,5 to 10 Years
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,123,2022,21,5 to 10 Years
Misa Los Angeles,Contemporary,7,7,2015,9,9,5 to 10 Years,1,Existing,124,2022,7,5 to 10 Years
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,Existing,125,2022,69,5 to 10 Years
Ml Monique Lhuillier,Contemporary,12,11,1996,28,28,20 to 50 Years,1,Existing,126,2022,26,5 to 10 Years
Moncler,Luxury,13,13,1952,72,72,50 to 100 Years,1,Existing,127,2022,70,5 to 10 Years
Monique Lhuillier,Contemporary,12,12,1996,28,28,20 to 50 Years,1,Existing,128,2022,26,5 to 10 Years
Moose Knuckles,Contemporary,5,5,2007,17,17,10 to 20 Years,1,Existing,129,2022,15,5 to 10 Years
Mother,Contemporary,5,5,2010,14,14,10 to 20 Years,1,Existing,130,2022,12,5 to 10 Years
Naeem Khan,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,131,2022,14,5 to 10 Years
Nanushka,Contemporary,2,2,2006,18,18,10 to 20 Years,1,Existing,132,2022,16,5 to 10 Years
Neiman Marcus,Contemporary,16,16,1907,117,117,100 to 200 Years,1,Existing,133,2022,115,5 to 10 Years
Nicole Miller,Contemporary,18,13,1982,42,42,20 to 50 Years,1,Existing,134,2022,40,5 to 10 Years
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,1,Existing,135,2022,90,5 to 10 Years
Norma Kamali,Contemporary,17,12,1967,57,57,50 to 100 Years,1,Existing,136,2022,55,5 to 10 Years
Off-White,Premium,5,5,1998,26,26,20 to 50 Years,1,Existing,137,2022,24,5 to 10 Years
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,138,2022,57,5 to 10 Years
Paige,Contemporary,6,6,2004,20,20,10 to 20 Years,1,Existing,139,2022,18,5 to 10 Years
Palm Angels,Contemporary,3,3,2015,9,9,5 to 10 Years,1,Existing,140,2022,7,5 to 10 Years
Palmer//Harding,Contemporary,6,6,2012,12,12,10 to 20 Years,1,Existing,141,2022,10,5 to 10 Years
Pamella Roland,Contemporary,12,12,2002,22,22,20 to 50 Years,1,Existing,142,2022,20,5 to 10 Years
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,143,2022,97,5 to 10 Years
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,144,2022,31,5 to 10 Years
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,145,2022,109,5 to 10 Years
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,146,2022,25,5 to 10 Years
Proenza Schouler White Label,Contemporary,3,3,2002,22,22,20 to 50 Years,1,Existing,147,2022,20,5 to 10 Years
Rag & Bone,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,148,2022,20,5 to 10 Years
Ramy Brook,Contemporary,11,11,2010,14,14,10 to 20 Years,1,Existing,149,2022,12,5 to 10 Years
Rasario,Premium,2,2,2005,19,19,10 to 20 Years,1,Existing,150,2022,17,5 to 10 Years
Re/Done,Contemporary,4,4,2014,10,10,5 to 10 Years,1,Existing,151,2022,8,5 to 10 Years
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,152,2022,26,5 to 10 Years
Rene Caovilla,Premium,18,15,2004,20,20,10 to 20 Years,1,Existing,153,2022,18,5 to 10 Years
Rhode,Contemporary,4,4,2014,10,10,5 to 10 Years,1,Existing,154,2022,8,5 to 10 Years
Rickie Freeman For Teri Jon,Contemporary,15,14,1979,45,45,20 to 50 Years,1,Existing,155,2022,43,5 to 10 Years
Rococo Sand,Contemporary,2,2,2013,11,11,10 to 20 Years,1,Existing,156,2022,9,5 to 10 Years
Rodarte,Premium,2,2,1851,173,173,100 to 200 Years,1,Existing,157,2022,171,5 to 10 Years
Roger Vivier,Luxury,8,8,1937,87,87,50 to 100 Years,1,Existing,158,2022,85,5 to 10 Years
Roland Mouret,Premium,12,12,1981,43,43,20 to 50 Years,1,Existing,159,2022,41,5 to 10 Years
Rosetta Getty,Contemporary,6,6,2014,10,10,5 to 10 Years,1,Existing,160,2022,8,5 to 10 Years
Sachin & Babi,Contemporary,6,6,2009,15,15,10 to 20 Years,1,Existing,161,2022,13,5 to 10 Years
Safiyaa,Contemporary,3,3,2011,13,13,10 to 20 Years,1,Existing,162,2022,11,5 to 10 Years
Saint Laurent,Luxury,10,10,2012,12,12,10 to 20 Years,1,Existing,163,2022,10,5 to 10 Years
Saloni,Contemporary,6,6,2011,13,13,10 to 20 Years,1,Existing,164,2022,11,5 to 10 Years
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,165,2022,95,5 to 10 Years
See By Chloe,Contemporary,17,17,2001,23,23,20 to 50 Years,1,Existing,166,2022,21,5 to 10 Years
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,Existing,167,2022,24,5 to 10 Years
Silvia Tcherassi,Contemporary,2,2,2002,22,22,20 to 50 Years,1,Existing,168,2022,20,5 to 10 Years
Sjp By Sarah Jessica Parker,Contemporary,8,8,2014,10,10,5 to 10 Years,1,Existing,169,2022,8,5 to 10 Years
Smythe,Contemporary,12,11,2004,20,20,10 to 20 Years,1,Existing,170,2022,18,5 to 10 Years
Sofia Cashmere,Premium,12,8,1984,40,40,20 to 50 Years,1,Existing,171,2022,38,5 to 10 Years
Sophia Webster,Contemporary,10,10,2012,12,12,10 to 20 Years,1,Existing,172,2022,10,5 to 10 Years
Staud,Contemporary,3,3,2015,9,9,5 to 10 Years,1,Existing,173,2022,7,5 to 10 Years
Stella Mccartney,Premium,17,17,1970,54,54,50 to 100 Years,1,Existing,174,2022,52,5 to 10 Years
Stine Goya,Contemporary,4,4,2006,18,18,10 to 20 Years,1,Existing,175,2022,16,5 to 10 Years
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,176,2022,36,5 to 10 Years
Talbot Runhof,Contemporary,10,10,1992,32,32,20 to 50 Years,1,Existing,177,2022,30,5 to 10 Years
Tanya Taylor,Contemporary,7,7,2012,12,12,10 to 20 Years,1,Existing,178,2022,10,5 to 10 Years
The Great,Contemporary,7,7,2014,10,10,5 to 10 Years,1,Existing,179,2022,8,5 to 10 Years
The North Face,Contemporary,6,6,1966,58,58,50 to 100 Years,1,Existing,180,2022,56,5 to 10 Years
The Row,Luxury,10,10,2006,18,18,10 to 20 Years,1,Existing,181,2022,16,5 to 10 Years
Theia,Contemporary,12,12,2009,15,15,10 to 20 Years,1,Existing,182,2022,13,5 to 10 Years
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,183,2022,25,5 to 10 Years
Tibi,Contemporary,13,13,1997,27,27,20 to 50 Years,1,Existing,184,2022,25,5 to 10 Years
Tom Ford,Luxury,10,10,2005,19,19,10 to 20 Years,1,Existing,185,2022,17,5 to 10 Years
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,186,2022,18,5 to 10 Years
Ugg,Contemporary,7,7,1978,46,46,20 to 50 Years,1,Existing,187,2022,44,5 to 10 Years
Ulla Johnson,Contemporary,2,2,2000,24,24,20 to 50 Years,1,Existing,188,2022,22,5 to 10 Years
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,189,2022,62,5 to 10 Years
Valentino Garavani,Luxury,6,6,1960,64,64,50 to 100 Years,1,Existing,190,2022,62,5 to 10 Years
Veja,Contemporary,3,3,2004,20,20,10 to 20 Years,1,Existing,191,2022,18,5 to 10 Years
Veronica Beard,Contemporary,9,9,2010,14,14,10 to 20 Years,1,Existing,192,2022,12,5 to 10 Years
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,193,2022,44,5 to 10 Years
Versace Jeans Couture,Contemporary,2,2,1994,30,30,20 to 50 Years,1,Existing,194,2022,28,5 to 10 Years
Victoria Beckham,Luxury,8,8,2008,16,16,10 to 20 Years,1,Existing,195,2022,14,5 to 10 Years
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,196,2022,20,5 to 10 Years
Wandler,Contemporary,3,3,2017,7,7,5 to 10 Years,1,Existing,197,2022,5,5 to 10 Years
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,198,2022,72,5 to 10 Years
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,199,2022,26,5 to 10 Years
Yves Salomon,Contemporary,2,2,1920,104,104,100 to 200 Years,1,Existing,200,2022,102,5 to 10 Years
Zadig & Voltaire,Contemporary,8,8,1997,27,27,20 to 50 Years,1,Existing,201,2022,25,5 to 10 Years
Zhivago,Contemporary,2,2,2012,12,12,10 to 20 Years,1,Existing,202,2022,10,5 to 10 Years
Zimmermann,Contemporary,13,11,1991,33,33,20 to 50 Years,1,Existing,203,2022,31,5 to 10 Years
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,New,1,2005,3,5 to 10 Years
Armani Jeans,Contemporary,18,2,1981,43,43,20 to 50 Years,1,New,2,2005,24,5 to 10 Years
Celine,Luxury,18,3,1945,79,79,50 to 100 Years,1,New,3,2005,60,5 to 10 Years
Class Roberto Cavalli,Contemporary,18,2,1970,54,54,50 to 100 Years,1,New,4,2005,35,5 to 10 Years
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,New,5,2005,27,5 to 10 Years
Dior,Luxury,18,9,1946,78,78,50 to 100 Years,1,New,6,2005,59,5 to 10 Years
Easton Pearson,Contemporary,18,2,1989,35,35,20 to 50 Years,1,New,7,2005,16,5 to 10 Years
Furla,Contemporary,18,3,1927,97,97,50 to 100 Years,1,New,8,2005,78,5 to 10 Years
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,New,9,2005,51,5 to 10 Years
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,1,New,10,2005,7,5 to 10 Years
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,New,11,2005,52,5 to 10 Years
Moschino,Luxury,18,6,1983,41,41,20 to 50 Years,1,New,12,2005,22,5 to 10 Years
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,1,New,13,2005,4,5 to 10 Years
Nicole Miller,Contemporary,18,13,1982,42,42,20 to 50 Years,1,New,14,2005,23,5 to 10 Years
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,New,15,2005,40,5 to 10 Years
Philosophy Di Alberta Ferretti,Premium,18,7,2001,23,23,20 to 50 Years,1,New,16,2005,4,5 to 10 Years
Prada Sport,Premium,18,1,1968,56,56,50 to 100 Years,1,New,17,2005,37,5 to 10 Years
Rafe,Contemporary,18,10,1997,27,27,20 to 50 Years,1,New,18,2005,8,5 to 10 Years
Rene Caovilla,Premium,18,15,2004,20,20,10 to 20 Years,1,New,19,2005,1,5 to 10 Years
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,1,New,20,2005,2,5 to 10 Years
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,New,21,2005,7,5 to 10 Years
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,1,New,22,2005,43,5 to 10 Years
Strenesse Gabriele Strehle,Contemporary,18,2,1949,75,75,50 to 100 Years,1,New,23,2005,56,5 to 10 Years
Tory By Trb,Contemporary,18,1,2004,20,20,10 to 20 Years,1,New,24,2005,1,5 to 10 Years
Tracy Reese,Contemporary,18,10,1998,26,26,20 to 50 Years,1,New,25,2005,7,5 to 10 Years
Vera Wang,Contemporary,18,9,1990,34,34,20 to 50 Years,1,New,26,2005,15,5 to 10 Years
